question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,explanation
13,single,賃貸住宅管理業法,登録制度;管理戸数,賃貸住宅管理業の登録に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",管理戸数が200戸未満の事業者であっても、任意に登録を受けることができる。,自己所有物件のみを管理する場合、その戸数は登録義務の判断における管理戸数から除かれる。,管理戸数が200戸未満の事業者は、任意登録を受けることもできない。,登録制度は、賃貸住宅管理業務の適正な運営を確保することを目的の一つとしている。,3,登録義務は原則として管理戸数200戸以上の場合に問題となり、200戸未満でも任意登録は可能です。
14,single,賃貸住宅管理業法,登録制度;管理戸数,賃貸住宅管理業の登録に関する次の記述のうち、正しいものはどれか。,"","","","","",自己所有物件のみを管理する場合でも、常に登録義務の対象となる。,登録を受けた事業者は、業務管理者の配置義務を免れる。,自己所有物件のみを管理する場合、その戸数は登録義務の判断における管理戸数から除かれる。,管理戸数が1戸でもある事業者は、例外なく登録を受けなければならない。,3,登録義務は原則として管理戸数200戸以上の場合に問題となり、200戸未満でも任意登録は可能です。
15,single,賃貸住宅管理業法,登録制度;管理戸数,賃貸住宅管理業の登録に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",登録制度は、賃貸住宅管理業務の適正な運営を確保することを目的の一つとしている。,登録を受けた事業者は、業務管理者の配置義務を免れる。,管理戸数が200戸以上の賃貸住宅管理業者は、原則として国土交通大臣の登録を受ける必要がある。,管理戸数が200戸未満の事業者であっても、任意に登録を受けることができる。,2,登録義務は原則として管理戸数200戸以上の場合に問題となり、200戸未満でも任意登録は可能です。
16,single,賃貸住宅管理業法,管理業務;維持保全,賃貸住宅管理業における管理業務に関する次の記述のうち、正しいものはどれか。,"","","","","",賃貸住宅の維持保全を行う業務は、賃貸住宅管理業の対象となる管理業務に含まれる。,家賃の集金のみを行う事業は、常に賃貸住宅管理業に該当する。,入居者募集広告だけを行う事業は、当然に賃貸住宅管理業に該当する。,維持保全を行っていても、金銭管理を併せて行わなければ賃貸住宅管理業には該当しない。,1,賃貸住宅管理業の中心は維持保全であり、金銭管理のみでは本法上の賃貸住宅管理業に当然には該当しません。
17,single,賃貸住宅管理業法,管理業務;維持保全,賃貸住宅管理業における管理業務に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",維持保全と併せて家賃等の金銭管理を行う業務は、賃貸住宅管理業に該当し得る。,金銭管理のみを行い維持保全を行わない事業は、賃貸住宅管理業に当然には該当しない。,入居者募集広告だけを行う事業は、当然に賃貸住宅管理業に該当する。,賃貸住宅管理業は、賃貸住宅の賃貸人から委託を受けて管理業務を行う事業を対象とする。,3,賃貸住宅管理業の中心は維持保全であり、金銭管理のみでは本法上の賃貸住宅管理業に当然には該当しません。
18,single,賃貸住宅管理業法,管理業務;維持保全,賃貸住宅管理業における管理業務に関する次の記述のうち、正しいものはどれか。,"","","","","",維持保全を行っていても、金銭管理を併せて行わなければ賃貸住宅管理業には該当しない。,賃貸住宅管理業法は、事業用ビルの管理のみを対象としている。,金銭管理のみを行い維持保全を行わない事業は、賃貸住宅管理業に当然には該当しない。,家賃の集金のみを行う事業は、常に賃貸住宅管理業に該当する。,3,賃貸住宅管理業の中心は維持保全であり、金銭管理のみでは本法上の賃貸住宅管理業に当然には該当しません。
19,single,賃貸住宅管理業法,管理業務;維持保全,賃貸住宅管理業における管理業務に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",賃貸住宅管理業は、賃貸住宅の賃貸人から委託を受けて管理業務を行う事業を対象とする。,賃貸住宅管理業法は、事業用ビルの管理のみを対象としている。,賃貸住宅の維持保全を行う業務は、賃貸住宅管理業の対象となる管理業務に含まれる。,維持保全と併せて家賃等の金銭管理を行う業務は、賃貸住宅管理業に該当し得る。,2,賃貸住宅管理業の中心は維持保全であり、金銭管理のみでは本法上の賃貸住宅管理業に当然には該当しません。
20,single,賃貸住宅管理業法,業務管理者;配置,業務管理者の配置に関する次の記述のうち、正しいものはどれか。,"","","","","",賃貸住宅管理業者は、営業所又は事務所ごとに業務管理者を1名以上配置しなければならない。,業務管理者は、本店に1名置けば全営業所について配置したものとみなされる。,管理戸数にかかわらず、登録業者には業務管理者の配置義務がない。,業務管理者は、入居者から希望があった場合に限り配置すればよい。,1,業務管理者は営業所又は事務所ごとに1名以上配置する必要があります。
21,single,賃貸住宅管理業法,業務管理者;配置,業務管理者の配置に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",業務管理者は、管理業務の適正な実施を確保するために置かれる者である。,複数の営業所がある場合、各営業所又は事務所ごとの配置が問題となる。,管理戸数にかかわらず、登録業者には業務管理者の配置義務がない。,業務管理者には、賃貸住宅管理に関する知識や経験が求められる。,3,業務管理者は営業所又は事務所ごとに1名以上配置する必要があります。
22,single,賃貸住宅管理業法,業務管理者;配置,業務管理者の配置に関する次の記述のうち、正しいものはどれか。,"","","","","",業務管理者は、入居者から希望があった場合に限り配置すればよい。,業務管理者は、営業所ではなく物件ごとに必ず1名配置しなければならない。,複数の営業所がある場合、各営業所又は事務所ごとの配置が問題となる。,業務管理者は、本店に1名置けば全営業所について配置したものとみなされる。,3,業務管理者は営業所又は事務所ごとに1名以上配置する必要があります。
23,single,賃貸住宅管理業法,業務管理者;配置,業務管理者の配置に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",業務管理者には、賃貸住宅管理に関する知識や経験が求められる。,業務管理者は、営業所ではなく物件ごとに必ず1名配置しなければならない。,賃貸住宅管理業者は、営業所又は事務所ごとに業務管理者を1名以上配置しなければならない。,業務管理者は、管理業務の適正な実施を確保するために置かれる者である。,2,業務管理者は営業所又は事務所ごとに1名以上配置する必要があります。
24,single,賃貸住宅管理業法,業務管理者;要件,業務管理者の要件に関する次の記述のうち、正しいものはどれか。,"","","","","",業務管理者には、管理業務に関する一定の実務経験や試験合格等の要件が定められている。,業務管理者は、代表者が指名すれば実務経験や知識を一切問われない。,宅地建物取引士であれば、指定講習等を受けなくても常に業務管理者になれる。,業務管理者には、賃貸借契約に関する知識は不要である。,1,業務管理者には、管理業務に関する実務経験や試験、講習などの要件が設けられています。
25,single,賃貸住宅管理業法,業務管理者;要件,業務管理者の要件に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",宅地建物取引士であっても、指定講習など必要な要件を満たすことが求められる場合がある。,業務管理者には、建物・設備、金銭管理、賃貸借契約などに関する知識が期待される。,宅地建物取引士であれば、指定講習等を受けなくても常に業務管理者になれる。,実務経験に代わる講習を修了している者が要件上考慮される場合がある。,3,業務管理者には、管理業務に関する実務経験や試験、講習などの要件が設けられています。
26,single,賃貸住宅管理業法,業務管理者;要件,業務管理者の要件に関する次の記述のうち、正しいものはどれか。,"","","","","",業務管理者には、賃貸借契約に関する知識は不要である。,業務管理者の要件は、物件の所在地を知っていることだけで足りる。,業務管理者には、建物・設備、金銭管理、賃貸借契約などに関する知識が期待される。,業務管理者は、代表者が指名すれば実務経験や知識を一切問われない。,3,業務管理者には、管理業務に関する実務経験や試験、講習などの要件が設けられています。
27,single,賃貸住宅管理業法,業務管理者;要件,業務管理者の要件に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",実務経験に代わる講習を修了している者が要件上考慮される場合がある。,業務管理者の要件は、物件の所在地を知っていることだけで足りる。,業務管理者には、管理業務に関する一定の実務経験や試験合格等の要件が定められている。,宅地建物取引士であっても、指定講習など必要な要件を満たすことが求められる場合がある。,2,業務管理者には、管理業務に関する実務経験や試験、講習などの要件が設けられています。
28,single,賃貸住宅管理業法,重要事項説明;時期,管理受託契約の重要事項説明の時期に関する次の記述のうち、正しいものはどれか。,"","","","","",重要事項説明は、管理受託契約の締結前に行う必要がある。,重要事項説明は、管理受託契約の締結後に初めて行えば足りる。,重要事項説明は、契約締結の翌月までに行えば常に適法である。,重要事項説明書は、契約終了後に交付する書面である。,1,管理受託契約の重要事項説明は契約締結前に行う必要があり、賃貸人が理解して判断できる時間の確保が重要です。
29,single,賃貸住宅管理業法,重要事項説明;時期,管理受託契約の重要事項説明の時期に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",賃貸人が契約内容を理解した上で判断できるよう、説明から契約締結まで一定の期間を置くことが望ましい。,重要事項説明書は、契約締結に先立って交付される書面である。,重要事項説明は、契約締結の翌月までに行えば常に適法である。,説明から契約締結までの期間が短い場合でも、賃貸人が判断するための時間を確保する配慮が求められる。,3,管理受託契約の重要事項説明は契約締結前に行う必要があり、賃貸人が理解して判断できる時間の確保が重要です。
30,single,賃貸住宅管理業法,重要事項説明;時期,管理受託契約の重要事項説明の時期に関する次の記述のうち、正しいものはどれか。,"","","","","",重要事項説明書は、契約終了後に交付する書面である。,賃貸人が内容を確認する時間を確保する必要は一切ない。,重要事項説明書は、契約締結に先立って交付される書面である。,重要事項説明は、管理受託契約の締結後に初めて行えば足りる。,3,管理受託契約の重要事項説明は契約締結前に行う必要があり、賃貸人が理解して判断できる時間の確保が重要です。
31,single,賃貸住宅管理業法,重要事項説明;時期,管理受託契約の重要事項説明の時期に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",説明から契約締結までの期間が短い場合でも、賃貸人が判断するための時間を確保する配慮が求められる。,賃貸人が内容を確認する時間を確保する必要は一切ない。,重要事項説明は、管理受託契約の締結前に行う必要がある。,賃貸人が契約内容を理解した上で判断できるよう、説明から契約締結まで一定の期間を置くことが望ましい。,2,管理受託契約の重要事項説明は契約締結前に行う必要があり、賃貸人が理解して判断できる時間の確保が重要です。
32,single,賃貸住宅管理業法,重要事項説明;説明者,管理受託契約の重要事項説明を行う者に関する次の記述のうち、正しいものはどれか。,"","","","","",重要事項説明は、業務管理者本人が行うことまでは必ずしも求められていない。,重要事項説明は、必ず業務管理者本人だけが行わなければならない。,重要事項説明は、契約当事者でない外部業者に自由に委託できる。,重要事項説明を行う者には、管理業務に関する知識が一切求められない。,1,重要事項説明は業務管理者本人に限定されませんが、原則として当該管理業者の従業者が適切に行う必要があります。
33,single,賃貸住宅管理業法,重要事項説明;説明者,管理受託契約の重要事項説明を行う者に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",重要事項説明は、管理受託契約を締結する賃貸住宅管理業者の従業者が行う必要がある。,重要事項説明は、専門的な知識や経験を有する者に行わせることが望ましい。,重要事項説明は、契約当事者でない外部業者に自由に委託できる。,出向者が説明を行う場合でも、指揮命令関係など実質的な使用人性が問題となる。,3,重要事項説明は業務管理者本人に限定されませんが、原則として当該管理業者の従業者が適切に行う必要があります。
34,single,賃貸住宅管理業法,重要事項説明;説明者,管理受託契約の重要事項説明を行う者に関する次の記述のうち、正しいものはどれか。,"","","","","",重要事項説明を行う者には、管理業務に関する知識が一切求められない。,重要事項説明は、賃貸住宅管理業者の従業者でない者が常に自由に行える。,重要事項説明は、専門的な知識や経験を有する者に行わせることが望ましい。,重要事項説明は、必ず業務管理者本人だけが行わなければならない。,3,重要事項説明は業務管理者本人に限定されませんが、原則として当該管理業者の従業者が適切に行う必要があります。
35,single,賃貸住宅管理業法,重要事項説明;説明者,管理受託契約の重要事項説明を行う者に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",出向者が説明を行う場合でも、指揮命令関係など実質的な使用人性が問題となる。,重要事項説明は、賃貸住宅管理業者の従業者でない者が常に自由に行える。,重要事項説明は、業務管理者本人が行うことまでは必ずしも求められていない。,重要事項説明は、管理受託契約を締結する賃貸住宅管理業者の従業者が行う必要がある。,2,重要事項説明は業務管理者本人に限定されませんが、原則として当該管理業者の従業者が適切に行う必要があります。
36,single,賃貸住宅管理業法,重要事項説明;契約締結時書面,重要事項説明書と契約締結時書面に関する次の記述のうち、正しいものはどれか。,"","","","","",重要事項説明書は、契約締結に先立って交付される書面である。,重要事項説明書と契約締結時書面は、常に同一の書面として交付しなければならない。,契約締結時書面は、契約締結前の勧誘段階でのみ交付する書面である。,重要事項説明書を交付すれば、契約締結時書面の交付は常に不要となる。,1,重要事項説明書と契約締結時書面は役割と交付時期が異なるため、当然に一体化できるものではありません。
37,single,賃貸住宅管理業法,重要事項説明;契約締結時書面,重要事項説明書と契約締結時書面に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",契約締結時書面は、管理受託契約の成立後に交付される書面である。,重要事項説明書と契約締結時書面は、交付時期が異なる。,契約締結時書面は、契約締結前の勧誘段階でのみ交付する書面である。,重要事項説明書と契約締結時書面を当然に一体の書面として交付することはできない。,3,重要事項説明書と契約締結時書面は役割と交付時期が異なるため、当然に一体化できるものではありません。
38,single,賃貸住宅管理業法,重要事項説明;契約締結時書面,重要事項説明書と契約締結時書面に関する次の記述のうち、正しいものはどれか。,"","","","","",重要事項説明書を交付すれば、契約締結時書面の交付は常に不要となる。,重要事項説明書は、契約締結時書面より後に交付することが予定されている。,重要事項説明書と契約締結時書面は、交付時期が異なる。,重要事項説明書と契約締結時書面は、常に同一の書面として交付しなければならない。,3,重要事項説明書と契約締結時書面は役割と交付時期が異なるため、当然に一体化できるものではありません。
39,single,賃貸住宅管理業法,重要事項説明;契約締結時書面,重要事項説明書と契約締結時書面に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",重要事項説明書と契約締結時書面を当然に一体の書面として交付することはできない。,重要事項説明書は、契約締結時書面より後に交付することが予定されている。,重要事項説明書は、契約締結に先立って交付される書面である。,契約締結時書面は、管理受託契約の成立後に交付される書面である。,2,重要事項説明書と契約締結時書面は役割と交付時期が異なるため、当然に一体化できるものではありません。
40,single,賃貸住宅管理業法,重要事項説明;契約変更,管理受託契約の変更時の重要事項説明に関する次の記述のうち、正しいものはどれか。,"","","","","",規則で定める重要事項を変更しようとするときは、変更事項について書面交付と説明が必要となる。,契約内容を変更する場合でも、重要事項説明は一切不要である。,契約期間のみの形式的な延長でも、常に全事項の重要事項説明をやり直さなければならない。,変更時の説明は、変更のあった事項を一切説明せず口頭の了解だけで常に足りる。,1,契約内容の変更時には、変更事項の内容や法施行前契約かどうかに応じて重要事項説明が問題となります。
41,single,賃貸住宅管理業法,重要事項説明;契約変更,管理受託契約の変更時の重要事項説明に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",契約の同一性を保ったまま契約期間のみを延長する場合など、形式的変更と認められるときは説明を省略できる場合がある。,法施行前の契約で、法施行後に全事項の説明をしていない場合は、変更時に全事項の説明が必要となる場合がある。,契約期間のみの形式的な延長でも、常に全事項の重要事項説明をやり直さなければならない。,契約内容の実質的な変更がある場合、重要事項説明の要否を検討する必要がある。,3,契約内容の変更時には、変更事項の内容や法施行前契約かどうかに応じて重要事項説明が問題となります。
42,single,賃貸住宅管理業法,重要事項説明;契約変更,管理受託契約の変更時の重要事項説明に関する次の記述のうち、正しいものはどれか。,"","","","","",変更時の説明は、変更のあった事項を一切説明せず口頭の了解だけで常に足りる。,法施行前の契約については、どのような変更をしても説明義務が生じる余地はない。,法施行前の契約で、法施行後に全事項の説明をしていない場合は、変更時に全事項の説明が必要となる場合がある。,契約内容を変更する場合でも、重要事項説明は一切不要である。,3,契約内容の変更時には、変更事項の内容や法施行前契約かどうかに応じて重要事項説明が問題となります。
43,single,賃貸住宅管理業法,重要事項説明;契約変更,管理受託契約の変更時の重要事項説明に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",契約内容の実質的な変更がある場合、重要事項説明の要否を検討する必要がある。,法施行前の契約については、どのような変更をしても説明義務が生じる余地はない。,規則で定める重要事項を変更しようとするときは、変更事項について書面交付と説明が必要となる。,契約の同一性を保ったまま契約期間のみを延長する場合など、形式的変更と認められるときは説明を省略できる場合がある。,2,契約内容の変更時には、変更事項の内容や法施行前契約かどうかに応じて重要事項説明が問題となります。
44,single,賃貸住宅管理業法,重要事項説明;代理人,重要事項説明の相手方に関する次の記述のうち、正しいものはどれか。,"","","","","",原則として、管理受託契約の相手方本人に重要事項説明を行う必要がある。,重要事項説明は、本人に知らせず管理業者が選んだ代理人に行えば常に足りる。,代理人に対する重要事項説明は、どのような場合でも一切認められない。,本人の意思による代理権の付与は、重要事項説明では全く意味を持たない。,1,重要事項説明は原則として本人に行いますが、本人の意思で代理権を付与された者への説明が認められる場合があります。
45,single,賃貸住宅管理業法,重要事項説明;代理人,重要事項説明の相手方に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",本人の意思により代理権を付与された者に説明した場合、説明として認められることがある。,賃貸住宅管理業者が代理人選任を主導した場合、本人への説明と評価できるか慎重に判断される。,代理人に対する重要事項説明は、どのような場合でも一切認められない。,代理人に説明する場合でも、代理権の有無を確認することが重要である。,3,重要事項説明は原則として本人に行いますが、本人の意思で代理権を付与された者への説明が認められる場合があります。
46,single,賃貸住宅管理業法,重要事項説明;代理人,重要事項説明の相手方に関する次の記述のうち、正しいものはどれか。,"","","","","",本人の意思による代理権の付与は、重要事項説明では全く意味を持たない。,重要事項説明の相手方は、入居者であれば誰でもよい。,賃貸住宅管理業者が代理人選任を主導した場合、本人への説明と評価できるか慎重に判断される。,重要事項説明は、本人に知らせず管理業者が選んだ代理人に行えば常に足りる。,3,重要事項説明は原則として本人に行いますが、本人の意思で代理権を付与された者への説明が認められる場合があります。
47,single,賃貸住宅管理業法,重要事項説明;代理人,重要事項説明の相手方に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",代理人に説明する場合でも、代理権の有無を確認することが重要である。,重要事項説明の相手方は、入居者であれば誰でもよい。,原則として、管理受託契約の相手方本人に重要事項説明を行う必要がある。,本人の意思により代理権を付与された者に説明した場合、説明として認められることがある。,2,重要事項説明は原則として本人に行いますが、本人の意思で代理権を付与された者への説明が認められる場合があります。
48,single,賃貸住宅管理業法,電磁的方法;承諾,電磁的方法による書面提供に関する次の記述のうち、正しいものはどれか。,"","","","","",一定の書面は、相手方の承諾を得て電磁的方法により提供できる場合がある。,相手方の承諾がなくても、管理業者の都合だけで当然に電磁的方法へ切り替えられる。,電磁的方法で提供した場合、相手方が内容を確認できなくても常に有効である。,電磁的方法による提供は、賃貸住宅管理業法では一切認められていない。,1,電磁的方法による提供は可能な場合がありますが、相手方の承諾や内容確認の確保が重要です。
49,single,賃貸住宅管理業法,電磁的方法;承諾,電磁的方法による書面提供に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",電磁的方法による提供でも、相手方が内容を確認できる状態にする必要がある。,重要事項説明書を電磁的方法で提供する場合、承諾の有無が問題となる。,電磁的方法で提供した場合、相手方が内容を確認できなくても常に有効である。,電磁的方法を用いる場合、提供内容を後から確認できるようにする配慮が必要である。,3,電磁的方法による提供は可能な場合がありますが、相手方の承諾や内容確認の確保が重要です。
50,single,賃貸住宅管理業法,電磁的方法;承諾,電磁的方法による書面提供に関する次の記述のうち、正しいものはどれか。,"","","","","",電磁的方法による提供は、賃貸住宅管理業法では一切認められていない。,電子メールで送信しさえすれば、説明すべき内容を省略してよい。,重要事項説明書を電磁的方法で提供する場合、承諾の有無が問題となる。,相手方の承諾がなくても、管理業者の都合だけで当然に電磁的方法へ切り替えられる。,3,電磁的方法による提供は可能な場合がありますが、相手方の承諾や内容確認の確保が重要です。
51,single,賃貸住宅管理業法,電磁的方法;承諾,電磁的方法による書面提供に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",電磁的方法を用いる場合、提供内容を後から確認できるようにする配慮が必要である。,電子メールで送信しさえすれば、説明すべき内容を省略してよい。,一定の書面は、相手方の承諾を得て電磁的方法により提供できる場合がある。,電磁的方法による提供でも、相手方が内容を確認できる状態にする必要がある。,2,電磁的方法による提供は可能な場合がありますが、相手方の承諾や内容確認の確保が重要です。
52,single,賃貸住宅管理業法,再委託;管理業務,管理業務の再委託に関する次の記述のうち、正しいものはどれか。,"","","","","",賃貸住宅管理業者は、管理業務の全部を他の者に再委託することはできない。,委託者の承諾があれば、管理業務の全部を常に再委託できる。,再委託先が登録業者であれば、管理業務の全部再委託も当然に許される。,管理業務の一部再委託も、例外なくすべて禁止されている。,1,管理業務の全部再委託は禁止されていますが、一部再委託まで常に禁止されるわけではありません。
53,single,賃貸住宅管理業法,再委託;管理業務,管理業務の再委託に関する次の記述のうち、最も不適切なものはどれか。,"","","","","",管理業務の一部再委託まで一律に禁止されているわけではない。,一部再委託を行う場合でも、管理業者は管理業務の適正な実施に注意する必要がある。,再委託先が登録業者であれば、管理業務の全部再委託も当然に許される。,全部再委託の禁止は、管理業者が実質的な管理責任を失うことを防ぐ趣旨を有する。,3,管理業務の全部再委託は禁止されていますが、一部再委託まで常に禁止されるわけではありません。
54,single,賃貸住宅管理業法,再委託;管理業務,管理業務の再委託に関する次の記述のうち、正しいものはどれか。,"","","","","",管理業務の一部再委託も、例外なくすべて禁止されている。,全部再委託をした場合、元の管理業者は一切責任を負わない。,一部再委託を行う場合でも、管理業者は管理業務の適正な実施に注意する必要がある。,委託者の承諾があれば、管理業務の全部を常に再委託できる。,3,管理業務の全部再委託は禁止されていますが、一部再委託まで常に禁止されるわけではありません。
